YearMonth,MonthStart,CourseLevel,Enrollments
2025-01,2025-01-01,Advanced,276
2025-01,2025-01-01,Beginner,305
2025-01,2025-01-01,Intermediate,252
2025-02,2025-02-01,Advanced,234
2025-02,2025-02-01,Beginner,293
2025-02,2025-02-01,Intermediate,239
2025-03,2025-03-01,Advanced,319
2025-03,2025-03-01,Beginner,306
2025-03,2025-03-01,Intermediate,232
2025-04,2025-04-01,Advanced,299
2025-04,2025-04-01,Beginner,287
2025-04,2025-04-01,Intermediate,245
2025-05,2025-05-01,Advanced,278
2025-05,2025-05-01,Beginner,311
2025-05,2025-05-01,Intermediate,236
2025-06,2025-06-01,Beginner,302
2025-06,2025-06-01,Intermediate,260
2025-06,2025-06-01,Advanced,337
2025-07,2025-07-01,Advanced,292
2025-07,2025-07-01,Beginner,274
2025-07,2025-07-01,Intermediate,260
2025-08,2025-08-01,Advanced,285
2025-08,2025-08-01,Beginner,296
2025-08,2025-08-01,Intermediate,263
2025-09,2025-09-01,Intermediate,254
2025-09,2025-09-01,Advanced,303
2025-09,2025-09-01,Beginner,313
2025-10,2025-10-01,Advanced,271
2025-10,2025-10-01,Beginner,291
2025-10,2025-10-01,Intermediate,200
2025-11,2025-11-01,Advanced,308
2025-11,2025-11-01,Beginner,297
2025-11,2025-11-01,Intermediate,264
2025-12,2025-12-01,Beginner,298
2025-12,2025-12-01,Advanced,273
2025-12,2025-12-01,Intermediate,247
