YearMonth,MonthStart,CourseType,Enrollments
2025-01,2025-01-01,Free,520
2025-01,2025-01-01,Paid,313
2025-02,2025-02-01,Free,506
2025-02,2025-02-01,Paid,260
2025-03,2025-03-01,Free,530
2025-03,2025-03-01,Paid,327
2025-04,2025-04-01,Free,531
2025-04,2025-04-01,Paid,300
2025-05,2025-05-01,Free,526
2025-05,2025-05-01,Paid,299
2025-06,2025-06-01,Paid,342
2025-06,2025-06-01,Free,557
2025-07,2025-07-01,Free,535
2025-07,2025-07-01,Paid,291
2025-08,2025-08-01,Free,570
2025-08,2025-08-01,Paid,274
2025-09,2025-09-01,Free,557
2025-09,2025-09-01,Paid,313
2025-10,2025-10-01,Free,490
2025-10,2025-10-01,Paid,272
2025-11,2025-11-01,Free,547
2025-11,2025-11-01,Paid,322
2025-12,2025-12-01,Free,534
2025-12,2025-12-01,Paid,284
