UserID,UserName,Age,AgeGroup,Gender,EnrollmentCount
U00001,wilsonjordan,15,<18,Male,1
U00002,angela22,29,26–35,Female,1
U00003,morrisonamanda,33,26–35,Female,11
U00004,fthornton,23,18–25,Female,13
U00005,fostergeoffrey,21,18–25,Male,2
U00006,jacksonjose,21,18–25,Male,1
U00007,grodriguez,24,18–25,Male,1
U00008,adkinsapril,33,26–35,Female,1
U00009,heathercallahan,20,18–25,Female,1
U00010,qlam,34,26–35,Female,2
U00011,ashley16,15,<18,Female,2
U00012,mirandatimothy,15,<18,Female,2
U00013,cherrykathleen,33,26–35,Female,14
U00014,huertatimothy,30,26–35,Male,1
U00015,tbaker,27,26–35,Female,14
U00016,josephmullins,32,26–35,Male,1
U00017,theresa55,24,18–25,Male,3
U00018,nicole97,24,18–25,Female,16
U00019,rlawson,24,18–25,Female,1
U00020,evansmichael,27,26–35,Female,1
U00021,autumn63,15,<18,Male,2
U00022,patriciaadkins,31,26–35,Male,1
U00023,micheal78,32,26–35,Male,1
U00024,steven43,18,18–25,Female,1
U00025,georgewhite,34,26–35,Male,4
U00026,andrew02,19,18–25,Male,1
U00027,hunter32,31,26–35,Male,2
U00028,zgomez,30,26–35,Female,12
U00029,hartmanjon,30,26–35,Male,1
U00030,david76,34,26–35,Male,1
U00031,lovedavid,30,26–35,Male,1
U00032,veronica83,18,18–25,Male,1
U00033,rodrigueznatalie,25,18–25,Male,1
U00034,ilopez,32,26–35,Female,2
U00035,chernandez,32,26–35,Male,1
U00036,coxmichael,24,18–25,Female,1
U00037,lisabraun,31,26–35,Female,2
U00038,williamselizabeth,35,26–35,Male,1
U00039,blackdanielle,16,<18,Female,1
U00040,briannamurphy,15,<18,Male,1
U00041,april65,19,18–25,Female,2
U00042,christopher62,32,26–35,Male,1
U00043,tommy21,31,26–35,Male,1
U00044,rileyapril,19,18–25,Male,1
U00045,rodneystevens,23,18–25,Female,14
U00046,usimpson,29,26–35,Female,2
U00047,westbrian,34,26–35,Male,1
U00048,willie71,19,18–25,Male,13
U00049,nclark,32,26–35,Male,1
U00050,rewing,33,26–35,Male,1
U00051,crystal12,32,26–35,Female,1
U00052,daniel48,25,18–25,Female,1
U00053,tara07,34,26–35,Female,1
U00054,jessicaparker,22,18–25,Female,1
U00055,hallandrea,31,26–35,Female,16
U00056,vcrawford,22,18–25,Female,2
U00057,thomasrobin,18,18–25,Male,1
U00058,egomez,30,26–35,Female,1
U00059,elizabeth16,32,26–35,Male,1
U00060,albert28,26,26–35,Male,4
U00061,vincent12,32,26–35,Female,1
U00062,howenathaniel,28,26–35,Female,1
U00063,lisawong,34,26–35,Female,2
U00064,donnabarker,33,26–35,Female,1
U00065,michaelcurtis,29,26–35,Male,1
U00066,wwest,26,26–35,Female,1
U00067,jessica24,28,26–35,Female,1
U00068,marshmichelle,32,26–35,Male,1
U00069,gainesandrew,27,26–35,Female,2
U00070,mgonzales,25,18–25,Female,2
U00071,kevin94,30,26–35,Female,14
U00072,hallanthony,17,<18,Female,1
U00073,katie83,16,<18,Male,1
U00074,nunezapril,19,18–25,Male,3
U00075,hfarley,22,18–25,Male,1
U00076,justinwatkins,34,26–35,Male,4
U00077,shannon49,20,18–25,Male,1
U00078,ahouston,32,26–35,Female,1
U00079,aburke,28,26–35,Male,1
U00080,mortonandrew,35,26–35,Female,1
U00081,smithdanny,18,18–25,Female,1
U00082,susankidd,31,26–35,Male,1
U00083,james92,16,<18,Male,15
U00084,xperez,20,18–25,Male,1
U00085,scottluna,22,18–25,Female,13
U00086,nicole62,27,26–35,Female,4
U00087,sjoseph,19,18–25,Female,3
U00088,tgarcia,23,18–25,Male,1
U00089,austinspears,30,26–35,Male,1
U00090,sethchavez,34,26–35,Male,1
U00091,joseph88,35,26–35,Male,1
U00092,carl44,31,26–35,Male,4
U00093,sextonelizabeth,16,<18,Male,1
U00094,qtaylor,27,26–35,Male,1
U00095,ojohnson,20,18–25,Male,1
U00096,wesley99,34,26–35,Female,4
U00097,donnawilliams,25,18–25,Male,2
U00098,sarah43,31,26–35,Male,1
U00099,wharrison,29,26–35,Female,1
U00100,swallace,32,26–35,Female,1
U00101,rosejames,15,<18,Female,1
