UserID,TotalEnrollments,UniqueCourses,UniqueCategories,UniqueLevels,ActivitySegment
U00001,1,1,1,1,Low Activity
U00002,1,1,1,1,Low Activity
U00003,11,11,7,3,Very High Activity
U00004,13,13,8,3,Very High Activity
U00005,2,2,2,2,Low Activity
U00006,1,1,1,1,Low Activity
U00007,1,1,1,1,Low Activity
U00008,1,1,1,1,Low Activity
U00009,1,1,1,1,Low Activity
U00010,2,2,2,2,Low Activity
U00011,2,2,2,2,Low Activity
U00012,2,2,2,2,Low Activity
U00013,14,14,8,3,Very High Activity
U00014,1,1,1,1,Low Activity
U00015,14,14,10,3,Very High Activity
U00016,1,1,1,1,Low Activity
U00017,3,3,3,2,Moderate Activity
U00018,16,16,9,3,Very High Activity
U00019,1,1,1,1,Low Activity
U00020,1,1,1,1,Low Activity
U00021,2,2,2,1,Low Activity
U00022,1,1,1,1,Low Activity
U00023,1,1,1,1,Low Activity
U00024,1,1,1,1,Low Activity
U00025,4,4,4,3,Moderate Activity
U00026,1,1,1,1,Low Activity
U00027,2,2,2,2,Low Activity
U00028,12,12,9,3,Very High Activity
U00029,1,1,1,1,Low Activity
U00030,1,1,1,1,Low Activity
U00031,1,1,1,1,Low Activity
U00032,1,1,1,1,Low Activity
U00033,1,1,1,1,Low Activity
U00034,2,2,2,1,Low Activity
U00035,1,1,1,1,Low Activity
U00036,1,1,1,1,Low Activity
U00037,2,2,2,1,Low Activity
U00038,1,1,1,1,Low Activity
U00039,1,1,1,1,Low Activity
U00040,1,1,1,1,Low Activity
U00041,2,2,2,2,Low Activity
U00042,1,1,1,1,Low Activity
U00043,1,1,1,1,Low Activity
U00044,1,1,1,1,Low Activity
U00045,14,14,9,3,Very High Activity
U00046,2,2,2,2,Low Activity
U00047,1,1,1,1,Low Activity
U00048,13,13,9,3,Very High Activity
U00049,1,1,1,1,Low Activity
U00050,1,1,1,1,Low Activity
U00051,1,1,1,1,Low Activity
U00052,1,1,1,1,Low Activity
U00053,1,1,1,1,Low Activity
U00054,1,1,1,1,Low Activity
U00055,16,16,9,3,Very High Activity
U00056,2,2,2,2,Low Activity
U00057,1,1,1,1,Low Activity
U00058,1,1,1,1,Low Activity
U00059,1,1,1,1,Low Activity
U00060,4,4,3,2,Moderate Activity
U00061,1,1,1,1,Low Activity
U00062,1,1,1,1,Low Activity
U00063,2,2,2,1,Low Activity
U00064,1,1,1,1,Low Activity
U00065,1,1,1,1,Low Activity
U00066,1,1,1,1,Low Activity
U00067,1,1,1,1,Low Activity
U00068,1,1,1,1,Low Activity
U00069,2,2,2,2,Low Activity
U00070,2,2,2,1,Low Activity
U00071,14,14,8,3,Very High Activity
U00072,1,1,1,1,Low Activity
U00073,1,1,1,1,Low Activity
U00074,3,3,2,1,Moderate Activity
U00075,1,1,1,1,Low Activity
U00076,4,4,4,2,Moderate Activity
U00077,1,1,1,1,Low Activity
U00078,1,1,1,1,Low Activity
U00079,1,1,1,1,Low Activity
U00080,1,1,1,1,Low Activity
U00081,1,1,1,1,Low Activity
U00082,1,1,1,1,Low Activity
U00083,15,15,9,3,Very High Activity
U00084,1,1,1,1,Low Activity
U00085,13,13,7,3,Very High Activity
U00086,4,4,4,3,Moderate Activity
U00087,3,3,3,2,Moderate Activity
U00088,1,1,1,1,Low Activity
U00089,1,1,1,1,Low Activity
U00090,1,1,1,1,Low Activity
U00091,1,1,1,1,Low Activity
U00092,4,4,4,2,Moderate Activity
U00093,1,1,1,1,Low Activity
U00094,1,1,1,1,Low Activity
U00095,1,1,1,1,Low Activity
U00096,4,4,3,2,Moderate Activity
U00097,2,2,2,1,Low Activity
U00098,1,1,1,1,Low Activity
U00099,1,1,1,1,Low Activity
U00100,1,1,1,1,Low Activity
U00101,1,1,1,1,Low Activity
U00102,1,1,1,1,Low Activity
U00103,1,1,1,1,Low Activity
U00104,1,1,1,1,Low Activity
U00105,1,1,1,1,Low Activity
U00106,2,2,2,2,Low Activity
U00107,1,1,1,1,Low Activity
U00108,2,2,2,2,Low Activity
U00109,14,14,10,3,Very High Activity
U00110,1,1,1,1,Low Activity
U00111,1,1,1,1,Low Activity
U00112,14,14,9,3,Very High Activity
U00113,1,1,1,1,Low Activity
U00114,1,1,1,1,Low Activity
U00115,1,1,1,1,Low Activity
U00116,1,1,1,1,Low Activity
U00117,13,13,9,3,Very High Activity
U00118,1,1,1,1,Low Activity
U00119,1,1,1,1,Low Activity
U00120,2,2,2,2,Low Activity
U00121,2,2,2,2,Low Activity
U00122,2,2,2,2,Low Activity
U00123,2,2,2,2,Low Activity
U00124,2,2,2,2,Low Activity
U00125,2,2,2,2,Low Activity
U00126,14,14,7,3,Very High Activity
U00127,3,3,3,2,Moderate Activity
U00128,13,13,8,3,Very High Activity
U00129,2,2,2,1,Low Activity
U00130,1,1,1,1,Low Activity
U00131,1,1,1,1,Low Activity
U00132,1,1,1,1,Low Activity
U00133,14,14,9,3,Very High Activity
U00134,14,14,8,3,Very High Activity
U00135,1,1,1,1,Low Activity
U00136,1,1,1,1,Low Activity
U00137,2,2,2,2,Low Activity
U00138,2,2,2,2,Low Activity
U00139,4,4,4,2,Moderate Activity
U00140,2,2,2,2,Low Activity
U00141,1,1,1,1,Low Activity
U00142,1,1,1,1,Low Activity
U00143,2,2,2,2,Low Activity
U00144,13,13,7,3,Very High Activity
U00145,1,1,1,1,Low Activity
U00146,1,1,1,1,Low Activity
U00147,12,12,9,3,Very High Activity
U00148,1,1,1,1,Low Activity
U00149,10,10,8,3,High Activity
U00150,2,2,2,2,Low Activity
U00151,1,1,1,1,Low Activity
U00152,12,12,9,3,Very High Activity
U00153,2,2,2,2,Low Activity
U00154,1,1,1,1,Low Activity
U00155,2,2,2,2,Low Activity
U00156,1,1,1,1,Low Activity
U00157,2,2,2,2,Low Activity
U00158,1,1,1,1,Low Activity
U00159,2,2,2,2,Low Activity
U00160,1,1,1,1,Low Activity
U00161,11,11,7,3,Very High Activity
U00162,1,1,1,1,Low Activity
U00163,1,1,1,1,Low Activity
U00164,2,2,1,2,Low Activity
U00165,4,4,4,3,Moderate Activity
U00166,15,15,9,3,Very High Activity
U00167,1,1,1,1,Low Activity
U00168,1,1,1,1,Low Activity
U00169,13,13,11,3,Very High Activity
U00170,3,3,3,1,Moderate Activity
U00171,2,2,1,2,Low Activity
U00172,1,1,1,1,Low Activity
U00173,14,14,10,3,Very High Activity
U00174,1,1,1,1,Low Activity
U00175,2,2,2,1,Low Activity
U00176,1,1,1,1,Low Activity
U00177,14,14,9,3,Very High Activity
U00178,14,14,10,3,Very High Activity
U00179,2,2,2,2,Low Activity
U00180,1,1,1,1,Low Activity
U00181,1,1,1,1,Low Activity
U00182,1,1,1,1,Low Activity
U00183,1,1,1,1,Low Activity
U00184,1,1,1,1,Low Activity
U00185,1,1,1,1,Low Activity
U00186,2,2,2,1,Low Activity
U00187,1,1,1,1,Low Activity
U00188,1,1,1,1,Low Activity
U00189,1,1,1,1,Low Activity
U00190,1,1,1,1,Low Activity
U00191,12,12,8,3,Very High Activity
U00192,14,14,9,3,Very High Activity
U00193,1,1,1,1,Low Activity
U00194,1,1,1,1,Low Activity
U00195,1,1,1,1,Low Activity
U00196,1,1,1,1,Low Activity
U00197,1,1,1,1,Low Activity
U00198,12,12,7,3,Very High Activity
U00199,1,1,1,1,Low Activity
U00200,4,4,3,1,Moderate Activity
U00201,3,3,3,3,Moderate Activity
U00202,1,1,1,1,Low Activity
U00203,2,2,2,2,Low Activity
U00204,1,1,1,1,Low Activity
U00205,1,1,1,1,Low Activity
U00206,1,1,1,1,Low Activity
U00207,2,2,2,2,Low Activity
U00208,15,15,10,3,Very High Activity
U00209,1,1,1,1,Low Activity
U00210,2,2,2,2,Low Activity
U00211,1,1,1,1,Low Activity
U00212,2,2,2,1,Low Activity
U00213,2,2,2,2,Low Activity
U00214,1,1,1,1,Low Activity
U00215,1,1,1,1,Low Activity
U00216,16,16,10,3,Very High Activity
U00217,1,1,1,1,Low Activity
U00218,1,1,1,1,Low Activity
U00219,1,1,1,1,Low Activity
U00220,15,15,11,3,Very High Activity
U00221,1,1,1,1,Low Activity
U00222,1,1,1,1,Low Activity
U00223,1,1,1,1,Low Activity
U00224,1,1,1,1,Low Activity
U00225,1,1,1,1,Low Activity
U00226,1,1,1,1,Low Activity
U00227,2,2,2,2,Low Activity
U00228,1,1,1,1,Low Activity
U00229,2,2,2,2,Low Activity
U00230,2,2,2,2,Low Activity
U00231,2,2,2,1,Low Activity
U00232,1,1,1,1,Low Activity
U00233,1,1,1,1,Low Activity
U00234,2,2,2,2,Low Activity
U00235,3,3,2,2,Moderate Activity
U00236,1,1,1,1,Low Activity
U00237,1,1,1,1,Low Activity
U00238,15,15,10,3,Very High Activity
U00239,1,1,1,1,Low Activity
U00240,2,2,2,2,Low Activity
U00241,2,2,2,2,Low Activity
U00242,2,2,2,2,Low Activity
U00243,1,1,1,1,Low Activity
U00244,1,1,1,1,Low Activity
U00245,1,1,1,1,Low Activity
U00246,1,1,1,1,Low Activity
U00247,1,1,1,1,Low Activity
U00248,1,1,1,1,Low Activity
U00249,1,1,1,1,Low Activity
U00250,1,1,1,1,Low Activity
U00251,13,13,9,3,Very High Activity
U00252,1,1,1,1,Low Activity
U00253,1,1,1,1,Low Activity
U00254,1,1,1,1,Low Activity
U00255,1,1,1,1,Low Activity
U00256,1,1,1,1,Low Activity
U00257,1,1,1,1,Low Activity
U00258,1,1,1,1,Low Activity
U00259,1,1,1,1,Low Activity
U00260,15,15,9,3,Very High Activity
U00261,1,1,1,1,Low Activity
U00262,1,1,1,1,Low Activity
U00263,4,4,4,3,Moderate Activity
U00264,3,3,3,1,Moderate Activity
U00265,14,14,9,3,Very High Activity
U00266,1,1,1,1,Low Activity
U00267,4,4,3,3,Moderate Activity
U00268,1,1,1,1,Low Activity
U00269,1,1,1,1,Low Activity
U00270,1,1,1,1,Low Activity
U00271,1,1,1,1,Low Activity
U00272,13,13,8,3,Very High Activity
U00273,1,1,1,1,Low Activity
U00274,2,2,2,1,Low Activity
U00275,1,1,1,1,Low Activity
U00276,1,1,1,1,Low Activity
U00277,1,1,1,1,Low Activity
U00278,1,1,1,1,Low Activity
U00279,3,3,3,1,Moderate Activity
U00280,1,1,1,1,Low Activity
U00281,1,1,1,1,Low Activity
U00282,14,14,9,3,Very High Activity
U00283,2,2,2,1,Low Activity
U00284,1,1,1,1,Low Activity
U00285,1,1,1,1,Low Activity
U00286,3,3,2,2,Moderate Activity
U00287,2,2,2,2,Low Activity
U00288,1,1,1,1,Low Activity
U00289,1,1,1,1,Low Activity
U00290,3,3,3,3,Moderate Activity
U00291,3,3,3,3,Moderate Activity
U00292,12,12,8,3,Very High Activity
U00293,13,13,9,3,Very High Activity
U00294,1,1,1,1,Low Activity
U00295,1,1,1,1,Low Activity
U00296,2,2,2,2,Low Activity
U00297,1,1,1,1,Low Activity
U00298,14,14,7,3,Very High Activity
U00299,1,1,1,1,Low Activity
U00300,2,2,2,2,Low Activity
U00301,14,14,9,3,Very High Activity
U00302,1,1,1,1,Low Activity
U00303,14,14,7,3,Very High Activity
U00304,1,1,1,1,Low Activity
U00305,1,1,1,1,Low Activity
U00306,1,1,1,1,Low Activity
U00307,1,1,1,1,Low Activity
U00308,4,4,4,1,Moderate Activity
U00309,1,1,1,1,Low Activity
U00310,11,11,8,3,Very High Activity
U00311,1,1,1,1,Low Activity
U00312,1,1,1,1,Low Activity
U00313,1,1,1,1,Low Activity
U00314,3,3,2,1,Moderate Activity
U00315,12,12,9,3,Very High Activity
U00316,2,2,2,2,Low Activity
U00317,3,3,3,2,Moderate Activity
U00318,1,1,1,1,Low Activity
U00319,1,1,1,1,Low Activity
U00320,1,1,1,1,Low Activity
U00321,14,14,8,3,Very High Activity
U00322,14,14,7,3,Very High Activity
U00323,15,15,8,3,Very High Activity
U00324,1,1,1,1,Low Activity
U00325,1,1,1,1,Low Activity
U00326,1,1,1,1,Low Activity
U00327,4,4,3,3,Moderate Activity
U00328,15,15,8,3,Very High Activity
U00329,12,12,8,3,Very High Activity
U00330,14,14,8,3,Very High Activity
U00331,1,1,1,1,Low Activity
U00332,1,1,1,1,Low Activity
U00333,1,1,1,1,Low Activity
U00334,13,13,9,3,Very High Activity
U00335,1,1,1,1,Low Activity
U00336,1,1,1,1,Low Activity
U00337,1,1,1,1,Low Activity
U00338,14,14,8,3,Very High Activity
U00339,16,16,10,3,Very High Activity
U00340,14,14,8,3,Very High Activity
U00341,1,1,1,1,Low Activity
U00342,1,1,1,1,Low Activity
U00343,1,1,1,1,Low Activity
U00344,1,1,1,1,Low Activity
U00345,15,15,9,3,Very High Activity
U00346,3,3,3,2,Moderate Activity
U00347,2,2,2,2,Low Activity
U00348,1,1,1,1,Low Activity
U00349,1,1,1,1,Low Activity
U00350,2,2,2,2,Low Activity
U00351,13,13,8,3,Very High Activity
U00352,15,15,10,3,Very High Activity
U00353,14,14,10,3,Very High Activity
U00354,2,2,1,2,Low Activity
U00355,1,1,1,1,Low Activity
U00356,15,15,10,3,Very High Activity
U00357,15,15,10,3,Very High Activity
U00358,1,1,1,1,Low Activity
U00359,1,1,1,1,Low Activity
U00360,1,1,1,1,Low Activity
U00361,1,1,1,1,Low Activity
U00362,13,13,8,3,Very High Activity
U00363,1,1,1,1,Low Activity
U00364,1,1,1,1,Low Activity
