MonthStart,YearMonth,Enrollments,UniqueLearners,UniqueCourses,AvgEnrollmentsPerLearner,Month,Year,MonthName,MoM_Change
2025-01-01,2025-01,833,619,60,1.345718901453958,1,2025,January,
2025-02-01,2025-02,766,568,60,1.3485915492957747,2,2025,February,-8.04
2025-03-01,2025-03,857,643,60,1.332814930015552,3,2025,March,11.88
2025-04-01,2025-04,831,600,60,1.385,4,2025,April,-3.03
2025-05-01,2025-05,825,644,60,1.281055900621118,5,2025,May,-0.72
2025-06-01,2025-06,899,669,60,1.343796711509716,6,2025,June,8.97
2025-07-01,2025-07,826,619,60,1.3344103392568658,7,2025,July,-8.12
2025-08-01,2025-08,844,646,60,1.306501547987616,8,2025,August,2.18
2025-09-01,2025-09,870,643,60,1.3530326594090203,9,2025,September,3.08
2025-10-01,2025-10,762,585,60,1.3025641025641026,10,2025,October,-12.41
2025-11-01,2025-11,869,641,60,1.3556942277691109,11,2025,November,14.04
2025-12-01,2025-12,818,609,60,1.3431855500821017,12,2025,December,-5.87
