CourseCategory,Enrollments,UniqueLearners,AverageTransactionAmount,AverageCoursePrice,AverageCourseRating,EnrollmentSharePercentage
Data Science,916,685,84.12,84.12,3.34,9.16
Finance,864,650,32.53,32.53,3.04,8.64
Web Development,844,652,19.77,19.77,2.88,8.44
Business,833,648,217.92,217.92,2.69,8.33
Project Management,829,636,203.98,203.98,3.12,8.29
Artificial Intelligence,829,639,244.57,244.57,3.12,8.29
Design,827,657,52.13,52.13,3.18,8.27
Cybersecurity,819,652,72.21,72.21,2.98,8.19
Machine Learning,819,639,0.16,0.16,2.71,8.19
Digital Marketing,808,646,69.63,69.63,3.68,8.08
Programming,806,605,96.1,96.1,3.05,8.06
Marketing,806,623,0.0,0.0,3.69,8.06
