UserID,UniqueCategories,TotalEnrollments
U00001,1,1
U00002,1,1
U00003,7,11
U00004,8,13
U00005,2,2
U00006,1,1
U00007,1,1
U00008,1,1
U00009,1,1
U00010,2,2
U00011,2,2
U00012,2,2
U00013,8,14
U00014,1,1
U00015,10,14
U00016,1,1
U00017,3,3
U00018,9,16
U00019,1,1
U00020,1,1
U00021,2,2
U00022,1,1
U00023,1,1
U00024,1,1
U00025,4,4
U00026,1,1
U00027,2,2
U00028,9,12
U00029,1,1
U00030,1,1
U00031,1,1
U00032,1,1
U00033,1,1
U00034,2,2
U00035,1,1
U00036,1,1
U00037,2,2
U00038,1,1
U00039,1,1
U00040,1,1
U00041,2,2
U00042,1,1
U00043,1,1
U00044,1,1
U00045,9,14
U00046,2,2
U00047,1,1
U00048,9,13
U00049,1,1
U00050,1,1
U00051,1,1
U00052,1,1
U00053,1,1
U00054,1,1
U00055,9,16
U00056,2,2
U00057,1,1
U00058,1,1
U00059,1,1
U00060,3,4
U00061,1,1
U00062,1,1
U00063,2,2
U00064,1,1
U00065,1,1
U00066,1,1
U00067,1,1
U00068,1,1
U00069,2,2
U00070,2,2
U00071,8,14
U00072,1,1
U00073,1,1
U00074,2,3
U00075,1,1
U00076,4,4
U00077,1,1
U00078,1,1
U00079,1,1
U00080,1,1
U00081,1,1
U00082,1,1
U00083,9,15
U00084,1,1
U00085,7,13
U00086,4,4
U00087,3,3
U00088,1,1
U00089,1,1
U00090,1,1
U00091,1,1
U00092,4,4
U00093,1,1
U00094,1,1
U00095,1,1
U00096,3,4
U00097,2,2
U00098,1,1
U00099,1,1
U00100,1,1
U00101,1,1
U00102,1,1
U00103,1,1
U00104,1,1
U00105,1,1
U00106,2,2
U00107,1,1
U00108,2,2
U00109,10,14
U00110,1,1
U00111,1,1
U00112,9,14
U00113,1,1
U00114,1,1
U00115,1,1
U00116,1,1
U00117,9,13
U00118,1,1
U00119,1,1
U00120,2,2
U00121,2,2
U00122,2,2
U00123,2,2
U00124,2,2
U00125,2,2
U00126,7,14
U00127,3,3
U00128,8,13
U00129,2,2
U00130,1,1
U00131,1,1
U00132,1,1
U00133,9,14
U00134,8,14
U00135,1,1
U00136,1,1
U00137,2,2
U00138,2,2
U00139,4,4
U00140,2,2
U00141,1,1
U00142,1,1
U00143,2,2
U00144,7,13
U00145,1,1
U00146,1,1
U00147,9,12
U00148,1,1
U00149,8,10
U00150,2,2
U00151,1,1
U00152,9,12
U00153,2,2
U00154,1,1
U00155,2,2
U00156,1,1
U00157,2,2
U00158,1,1
U00159,2,2
U00160,1,1
U00161,7,11
U00162,1,1
U00163,1,1
U00164,1,2
U00165,4,4
U00166,9,15
U00167,1,1
U00168,1,1
U00169,11,13
U00170,3,3
U00171,1,2
U00172,1,1
U00173,10,14
U00174,1,1
U00175,2,2
U00176,1,1
U00177,9,14
U00178,10,14
U00179,2,2
U00180,1,1
U00181,1,1
U00182,1,1
U00183,1,1
U00184,1,1
U00185,1,1
U00186,2,2
U00187,1,1
U00188,1,1
U00189,1,1
U00190,1,1
U00191,8,12
U00192,9,14
U00193,1,1
U00194,1,1
U00195,1,1
U00196,1,1
U00197,1,1
U00198,7,12
U00199,1,1
U00200,3,4
U00201,3,3
U00202,1,1
U00203,2,2
U00204,1,1
U00205,1,1
U00206,1,1
U00207,2,2
U00208,10,15
U00209,1,1
U00210,2,2
U00211,1,1
U00212,2,2
U00213,2,2
U00214,1,1
U00215,1,1
U00216,10,16
U00217,1,1
U00218,1,1
U00219,1,1
U00220,11,15
U00221,1,1
U00222,1,1
U00223,1,1
U00224,1,1
U00225,1,1
U00226,1,1
U00227,2,2
U00228,1,1
U00229,2,2
U00230,2,2
U00231,2,2
U00232,1,1
U00233,1,1
U00234,2,2
U00235,2,3
U00236,1,1
U00237,1,1
U00238,10,15
U00239,1,1
U00240,2,2
U00241,2,2
U00242,2,2
U00243,1,1
U00244,1,1
U00245,1,1
U00246,1,1
U00247,1,1
U00248,1,1
U00249,1,1
U00250,1,1
U00251,9,13
U00252,1,1
U00253,1,1
U00254,1,1
U00255,1,1
U00256,1,1
U00257,1,1
U00258,1,1
U00259,1,1
U00260,9,15
U00261,1,1
U00262,1,1
U00263,4,4
U00264,3,3
U00265,9,14
U00266,1,1
U00267,3,4
U00268,1,1
U00269,1,1
U00270,1,1
U00271,1,1
U00272,8,13
U00273,1,1
U00274,2,2
U00275,1,1
U00276,1,1
U00277,1,1
U00278,1,1
U00279,3,3
U00280,1,1
U00281,1,1
U00282,9,14
U00283,2,2
U00284,1,1
U00285,1,1
U00286,2,3
U00287,2,2
U00288,1,1
U00289,1,1
U00290,3,3
U00291,3,3
U00292,8,12
U00293,9,13
U00294,1,1
U00295,1,1
U00296,2,2
U00297,1,1
U00298,7,14
U00299,1,1
U00300,2,2
U00301,9,14
U00302,1,1
U00303,7,14
U00304,1,1
U00305,1,1
U00306,1,1
U00307,1,1
U00308,4,4
U00309,1,1
U00310,8,11
U00311,1,1
U00312,1,1
U00313,1,1
U00314,2,3
U00315,9,12
U00316,2,2
U00317,3,3
U00318,1,1
U00319,1,1
U00320,1,1
U00321,8,14
U00322,7,14
U00323,8,15
U00324,1,1
U00325,1,1
U00326,1,1
U00327,3,4
U00328,8,15
U00329,8,12
U00330,8,14
U00331,1,1
U00332,1,1
U00333,1,1
U00334,9,13
U00335,1,1
U00336,1,1
U00337,1,1
U00338,8,14
U00339,10,16
U00340,8,14
U00341,1,1
U00342,1,1
U00343,1,1
U00344,1,1
U00345,9,15
U00346,3,3
U00347,2,2
U00348,1,1
U00349,1,1
U00350,2,2
U00351,8,13
U00352,10,15
U00353,10,14
U00354,1,2
U00355,1,1
U00356,10,15
U00357,10,15
U00358,1,1
U00359,1,1
U00360,1,1
U00361,1,1
U00362,8,13
U00363,1,1
U00364,1,1
U00365,7,13
U00366,2,2
U00367,1,1
U00368,1,1
U00369,4,4
U00370,2,2
U00371,1,1
U00372,1,1
U00373,1,1
U00374,1,1
U00375,1,1
U00376,1,1
U00377,1,1
U00378,2,2
U00379,8,14
U00380,1,1
U00381,1,1
U00382,3,3
U00383,10,15
U00384,2,2
U00385,1,1
U00386,2,2
U00387,1,1
U00388,1,1
U00389,1,1
U00390,2,3
U00391,1,1
U00392,1,1
U00393,1,1
U00394,7,11
U00395,1,1
U00396,2,2
U00397,1,1
U00398,3,3
U00399,8,12
U00400,2,2
U00401,2,2
U00402,2,2
U00403,1,1
U00404,10,14
U00405,1,2
U00406,11,15
U00407,10,15
U00408,1,1
U00409,2,2
U00410,1,1
U00411,8,12
U00412,3,4
U00413,2,2
U00414,1,1
U00415,7,13
U00416,2,2
U00417,2,2
U00418,3,3
U00419,1,1
U00420,1,1
U00421,1,1
U00422,3,3
U00423,6,12
U00424,7,11
U00425,1,1
U00426,3,4
U00427,9,16
U00428,1,1
U00429,1,1
U00430,1,1
U00431,1,1
U00432,1,1
U00433,1,1
U00434,1,1
U00435,1,1
U00436,1,1
U00437,3,3
U00438,10,14
U00439,1,1
U00440,1,1
U00441,1,1
U00442,1,1
U00443,2,2
U00444,10,13
U00445,1,1
U00446,2,2
U00447,1,1
U00448,2,3
U00449,10,14
U00450,7,12
U00451,1,1
U00452,3,3
U00453,1,1
U00454,3,4
U00455,3,3
U00456,2,2
U00457,2,2
U00458,4,4
U00459,1,1
U00460,2,2
U00461,2,2
U00462,2,2
U00463,1,1
U00464,7,12
U00465,1,1
U00466,2,2
U00467,1,1
U00468,1,1
U00469,2,2
U00470,1,1
U00471,1,1
U00472,1,1
U00473,3,3
U00474,1,1
U00475,3,3
U00476,2,2
U00477,1,1
U00478,2,2
U00479,2,2
U00480,1,1
U00481,1,1
U00482,1,1
U00483,1,1
U00484,2,2
U00485,1,1
U00486,2,2
U00487,1,2
U00488,2,2
U00489,3,3
U00490,1,1
U00491,1,1
U00492,1,1
