CourseID,CourseName,Enrollments,UniqueLearners,EnrollmentShare,CumulativeShare
CR00021,Data Analysis with Python,196,196,1.96,1.96
CR00058,Social Media Strategy,194,194,1.94,3.9
CR00025,Statistical Analysis,192,192,1.92,5.82
CR00048,AI Ethics,186,186,1.86,7.68
CR00023,Machine Learning Fundamentals,185,185,1.85,9.53
CR00042,Investment Strategies,183,183,1.83,11.36
CR00043,Corporate Finance,182,182,1.82,13.18
CR00010,3D Modeling,180,180,1.8,14.98
CR00035,Cyber Threat Intelligence,179,179,1.79,16.77
CR00007,UI/UX Design,178,178,1.78,18.55
CR00054,Backend Development with Node.js,178,178,1.78,20.33
CR00055,Full-Stack Web Development,178,178,1.78,22.11
CR00036,Agile Project Management,177,177,1.77,23.88
CR00019,Content Marketing,177,177,1.77,25.65
CR00022,Data Visualization,177,177,1.77,27.42
CR00040,Leadership in Projects,174,174,1.74,29.16
CR00050,Computer Vision,174,174,1.74,30.9
CR00003,C++ for Beginners,173,173,1.73,32.63
CR00012,Business Strategy,173,173,1.73,34.36
CR00045,Financial Modeling,172,172,1.72,36.08
CR00026,Intro to Machine Learning,172,172,1.72,37.8
CR00051,HTML & CSS,171,171,1.71,39.51
CR00014,Sales Mastery,171,171,1.71,41.22
CR00028,Deep Learning,171,171,1.71,42.93
CR00013,Finance for Startups,170,170,1.7,44.63
CR00030,Reinforcement Learning,169,169,1.69,46.32
CR00015,Leadership Essentials,168,168,1.68,48.0
CR00039,Project Planning,167,167,1.67,49.67
CR00033,Cybersecurity Fundamentals,167,167,1.67,51.34
CR00024,Big Data Analytics,166,166,1.66,53.0
CR00047,Natural Language Processing,166,166,1.66,54.66
CR00041,Financial Accounting,166,166,1.66,56.32
CR00005,Full Stack Development,166,166,1.66,57.98
CR00060,Content Creation,165,165,1.65,59.63
CR00001,Python Basics,164,164,1.64,61.27
CR00049,Deep Learning,163,163,1.63,62.9
CR00032,Ethical Hacking,163,163,1.63,64.53
CR00053,React for Beginners,163,163,1.63,66.16
CR00018,Social Media Marketing,163,163,1.63,67.79
CR00044,Personal Finance,161,161,1.61,69.4
CR00059,Affiliate Marketing,161,161,1.61,71.01
CR00031,Network Security,160,160,1.6,72.61
CR00008,Photoshop Mastery,158,158,1.58,74.19
CR00017,SEO Mastery,158,158,1.58,75.77
CR00038,Risk Management,158,158,1.58,77.35
CR00006,Graphic Design Basics,156,156,1.56,78.91
CR00020,Email Marketing,155,155,1.55,80.46
CR00029,Natural Language Processing,155,155,1.55,82.01
CR00009,Web Design Fundamentals,155,155,1.55,83.56
CR00004,Advanced Python,154,154,1.54,85.1
CR00052,JavaScript Mastery,154,154,1.54,86.64
CR00016,Digital Marketing,153,153,1.53,88.17
CR00037,Scrum Essentials,153,153,1.53,89.7
CR00027,Neural Networks,152,152,1.52,91.22
CR00011,Entrepreneurship 101,151,151,1.51,92.73
CR00034,Data Encryption,150,150,1.5,94.23
CR00002,Java Programming,149,149,1.49,95.72
CR00056,Google Ads Mastery,148,148,1.48,97.2
CR00046,AI for Beginners,140,140,1.4,98.6
CR00057,SEO for E-commerce,140,140,1.4,100.0
