CourseID,CourseName,CourseRating,Enrollments,UniqueLearners,CourseCategory
CR00021,Data Analysis with Python,3.6,196,196,Data Science
CR00058,Social Media Strategy,4.44,194,194,Digital Marketing
CR00025,Statistical Analysis,3.74,192,192,Data Science
CR00048,AI Ethics,3.64,186,186,Artificial Intelligence
CR00023,Machine Learning Fundamentals,3.02,185,185,Data Science
CR00042,Investment Strategies,4.1,183,183,Finance
CR00043,Corporate Finance,4.14,182,182,Finance
CR00010,3D Modeling,4.45,180,180,Design
CR00035,Cyber Threat Intelligence,4.94,179,179,Cybersecurity
CR00007,UI/UX Design,2.61,178,178,Design
CR00054,Backend Development with Node.js,3.32,178,178,Web Development
CR00055,Full-Stack Web Development,4.74,178,178,Web Development
CR00036,Agile Project Management,4.68,177,177,Project Management
CR00019,Content Marketing,2.98,177,177,Marketing
CR00022,Data Visualization,3.65,177,177,Data Science
CR00040,Leadership in Projects,1.51,174,174,Project Management
CR00050,Computer Vision,4.55,174,174,Artificial Intelligence
CR00003,C++ for Beginners,3.85,173,173,Programming
CR00012,Business Strategy,3.64,173,173,Business
CR00045,Financial Modeling,1.59,172,172,Finance
CR00026,Intro to Machine Learning,4.73,172,172,Machine Learning
CR00051,HTML & CSS,1.3,171,171,Web Development
CR00014,Sales Mastery,3.15,171,171,Business
CR00028,Deep Learning,3.89,171,171,Machine Learning
CR00013,Finance for Startups,2.0,170,170,Business
CR00030,Reinforcement Learning,1.73,169,169,Machine Learning
CR00015,Leadership Essentials,1.96,168,168,Business
CR00039,Project Planning,1.23,167,167,Project Management
CR00033,Cybersecurity Fundamentals,3.93,167,167,Cybersecurity
CR00024,Big Data Analytics,2.57,166,166,Data Science
CR00047,Natural Language Processing,2.68,166,166,Artificial Intelligence
CR00041,Financial Accounting,2.47,166,166,Finance
CR00005,Full Stack Development,1.28,166,166,Programming
CR00060,Content Creation,2.14,165,165,Digital Marketing
CR00001,Python Basics,4.74,164,164,Programming
CR00049,Deep Learning,3.11,163,163,Artificial Intelligence
CR00032,Ethical Hacking,2.38,163,163,Cybersecurity
CR00053,React for Beginners,2.67,163,163,Web Development
CR00018,Social Media Marketing,2.01,163,163,Marketing
CR00044,Personal Finance,2.75,161,161,Finance
CR00059,Affiliate Marketing,4.66,161,161,Digital Marketing
CR00031,Network Security,1.91,160,160,Cybersecurity
CR00008,Photoshop Mastery,1.52,158,158,Design
CR00017,SEO Mastery,4.79,158,158,Marketing
CR00038,Risk Management,4.84,158,158,Project Management
CR00006,Graphic Design Basics,2.72,156,156,Design
CR00020,Email Marketing,4.11,155,155,Marketing
CR00029,Natural Language Processing,1.13,155,155,Machine Learning
CR00009,Web Design Fundamentals,4.51,155,155,Design
CR00004,Advanced Python,2.88,154,154,Programming
CR00052,JavaScript Mastery,2.2,154,154,Web Development
CR00016,Digital Marketing,4.72,153,153,Marketing
CR00037,Scrum Essentials,3.45,153,153,Project Management
CR00027,Neural Networks,1.81,152,152,Machine Learning
CR00011,Entrepreneurship 101,2.69,151,151,Business
CR00034,Data Encryption,1.35,150,150,Cybersecurity
CR00002,Java Programming,2.43,149,149,Programming
CR00056,Google Ads Mastery,3.15,148,148,Digital Marketing
CR00046,AI for Beginners,1.2,140,140,Artificial Intelligence
CR00057,SEO for E-commerce,3.89,140,140,Digital Marketing
