CourseID,CourseName,CourseCategory,CourseLevel,CourseType,Enrollments,UniqueLearners,CoursePrice,CourseRating,AverageTransactionAmount,TotalTransactionAmount,CourseDuration,EnrollmentShare,PopularityRank,LearnerReachShare,EnrollmentsPerLearner,RatingGroup,PriceGroup,PopularityRatingSegment,CategoryRank
CR00048,AI Ethics,Artificial Intelligence,Beginner,Free,186,186,0.0,3.64,0.0,0.0,42.7,1.86,4,1.86,1.0,3.0-3.9,Free,High Popularity - High Rating,1.0
CR00050,Computer Vision,Artificial Intelligence,Beginner,Paid,174,174,490.9,4.55,490.9,85416.59999999999,7.55,1.74,17,1.74,1.0,4.5+,₹1-500,High Popularity - High Rating,2.0
CR00047,Natural Language Processing,Artificial Intelligence,Intermediate,Paid,166,166,89.59,2.68,89.59,14871.94,1.55,1.66,31,1.66,1.0,Below 3,₹1-500,High Popularity - Lower Rating,3.0
CR00049,Deep Learning,Artificial Intelligence,Intermediate,Paid,163,163,415.51,3.11,415.51000000000005,67728.13,28.33,1.63,36,1.63,1.0,3.0-3.9,₹1-500,Lower Popularity - High Rating,4.0
CR00046,AI for Beginners,Artificial Intelligence,Beginner,Paid,140,140,248.1,1.2,248.1,34734.0,9.4,1.4,59,1.4,1.0,Below 3,₹1-500,Lower Popularity - Lower Rating,5.0
CR00012,Business Strategy,Business,Advanced,Paid,173,173,487.92,3.64,487.92,84410.16,36.01,1.73,19,1.73,1.0,3.0-3.9,₹1-500,High Popularity - High Rating,1.0
CR00014,Sales Mastery,Business,Advanced,Free,171,171,0.0,3.15,0.0,0.0,22.29,1.71,23,1.71,1.0,3.0-3.9,Free,High Popularity - High Rating,2.0
CR00013,Finance for Startups,Business,Advanced,Free,170,170,0.0,2.0,0.0,0.0,15.84,1.7,25,1.7,1.0,Below 3,Free,High Popularity - Lower Rating,3.0
CR00015,Leadership Essentials,Business,Beginner,Paid,168,168,285.05,1.96,285.05,47888.4,34.78,1.68,27,1.68,1.0,Below 3,₹1-500,High Popularity - Lower Rating,4.0
CR00011,Entrepreneurship 101,Business,Intermediate,Paid,151,151,326.02,2.69,326.02,49229.02,11.31,1.51,55,1.51,1.0,Below 3,₹1-500,Lower Popularity - Lower Rating,5.0
CR00035,Cyber Threat Intelligence,Cybersecurity,Beginner,Free,179,179,0.0,4.94,0.0,0.0,42.59,1.79,9,1.79,1.0,4.5+,Free,High Popularity - High Rating,1.0
CR00033,Cybersecurity Fundamentals,Cybersecurity,Intermediate,Free,167,167,0.0,3.93,0.0,0.0,48.25,1.67,29,1.67,1.0,3.0-3.9,Free,High Popularity - High Rating,2.0
CR00032,Ethical Hacking,Cybersecurity,Advanced,Free,163,163,0.0,2.38,0.0,0.0,16.74,1.63,37,1.63,1.0,Below 3,Free,Lower Popularity - Lower Rating,3.0
CR00031,Network Security,Cybersecurity,Intermediate,Free,160,160,0.0,1.91,0.0,0.0,26.52,1.6,42,1.6,1.0,Below 3,Free,Lower Popularity - Lower Rating,4.0
CR00034,Data Encryption,Cybersecurity,Intermediate,Paid,150,150,394.26,1.35,394.26,59139.0,47.44,1.5,56,1.5,1.0,Below 3,₹1-500,Lower Popularity - Lower Rating,5.0
CR00021,Data Analysis with Python,Data Science,Intermediate,Free,196,196,0.0,3.6,0.0,0.0,1.2,1.96,1,1.96,1.0,3.0-3.9,Free,High Popularity - High Rating,1.0
CR00025,Statistical Analysis,Data Science,Beginner,Paid,192,192,299.57,3.74,299.57,57517.44,48.32,1.92,3,1.92,1.0,3.0-3.9,₹1-500,High Popularity - High Rating,2.0
CR00023,Machine Learning Fundamentals,Data Science,Intermediate,Free,185,185,0.0,3.02,0.0,0.0,9.71,1.85,5,1.85,1.0,3.0-3.9,Free,High Popularity - Lower Rating,3.0
CR00022,Data Visualization,Data Science,Beginner,Free,177,177,0.0,3.65,0.0,0.0,32.64,1.77,15,1.77,1.0,3.0-3.9,Free,High Popularity - High Rating,4.0
CR00024,Big Data Analytics,Data Science,Advanced,Paid,166,166,117.68,2.57,117.68,19534.88,48.09,1.66,30,1.66,1.0,Below 3,₹1-500,High Popularity - Lower Rating,5.0
CR00010,3D Modeling,Design,Advanced,Free,180,180,0.0,4.45,0.0,0.0,15.29,1.8,8,1.8,1.0,4.0-4.4,Free,High Popularity - High Rating,1.0
CR00007,UI/UX Design,Design,Advanced,Free,178,178,0.0,2.61,0.0,0.0,48.68,1.78,10,1.78,1.0,Below 3,Free,High Popularity - Lower Rating,2.0
CR00008,Photoshop Mastery,Design,Advanced,Free,158,158,0.0,1.52,0.0,0.0,2.87,1.58,43,1.58,1.0,Below 3,Free,Lower Popularity - Lower Rating,3.0
CR00006,Graphic Design Basics,Design,Advanced,Paid,156,156,276.37,2.72,276.37,43113.72,48.84,1.56,46,1.56,1.0,Below 3,₹1-500,Lower Popularity - Lower Rating,4.0
CR00009,Web Design Fundamentals,Design,Beginner,Free,155,155,0.0,4.51,0.0,0.0,48.19,1.55,49,1.55,1.0,4.5+,Free,Lower Popularity - High Rating,5.0
CR00058,Social Media Strategy,Digital Marketing,Beginner,Free,194,194,0.0,4.44,0.0,0.0,1.46,1.94,2,1.94,1.0,4.0-4.4,Free,High Popularity - High Rating,1.0
CR00060,Content Creation,Digital Marketing,Beginner,Free,165,165,0.0,2.14,0.0,0.0,8.95,1.65,34,1.65,1.0,Below 3,Free,Lower Popularity - Lower Rating,2.0
CR00059,Affiliate Marketing,Digital Marketing,Intermediate,Free,161,161,0.0,4.66,0.0,0.0,5.95,1.61,41,1.61,1.0,4.5+,Free,Lower Popularity - High Rating,3.0
CR00056,Google Ads Mastery,Digital Marketing,Advanced,Paid,148,148,212.39,3.15,212.39,31433.719999999998,22.89,1.48,58,1.48,1.0,3.0-3.9,₹1-500,Lower Popularity - High Rating,4.0
CR00057,SEO for E-commerce,Digital Marketing,Advanced,Paid,140,140,177.34,3.89,177.34,24827.600000000002,49.73,1.4,60,1.4,1.0,3.0-3.9,₹1-500,Lower Popularity - High Rating,5.0
CR00042,Investment Strategies,Finance,Intermediate,Free,183,183,0.0,4.1,0.0,0.0,34.83,1.83,6,1.83,1.0,4.0-4.4,Free,High Popularity - High Rating,1.0
CR00043,Corporate Finance,Finance,Beginner,Free,182,182,0.0,4.14,0.0,0.0,31.77,1.82,7,1.82,1.0,4.0-4.4,Free,High Popularity - High Rating,2.0
CR00045,Financial Modeling,Finance,Advanced,Free,172,172,0.0,1.59,0.0,0.0,6.36,1.72,20,1.72,1.0,Below 3,Free,High Popularity - Lower Rating,3.0
CR00041,Financial Accounting,Finance,Beginner,Paid,166,166,53.86,2.47,53.86,8940.76,47.08,1.66,32,1.66,1.0,Below 3,₹1-500,High Popularity - Lower Rating,4.0
CR00044,Personal Finance,Finance,Intermediate,Paid,161,161,119.04,2.75,119.04000000000002,19165.440000000002,23.41,1.61,40,1.61,1.0,Below 3,₹1-500,Lower Popularity - Lower Rating,5.0
CR00026,Intro to Machine Learning,Machine Learning,Intermediate,Free,172,172,0.0,4.73,0.0,0.0,47.7,1.72,21,1.72,1.0,4.5+,Free,High Popularity - High Rating,1.0
CR00028,Deep Learning,Machine Learning,Advanced,Paid,171,171,0.78,3.89,0.78,133.38,44.96,1.71,24,1.71,1.0,3.0-3.9,₹1-500,High Popularity - High Rating,2.0
CR00030,Reinforcement Learning,Machine Learning,Intermediate,Free,169,169,0.0,1.73,0.0,0.0,38.49,1.69,26,1.69,1.0,Below 3,Free,High Popularity - Lower Rating,3.0
CR00029,Natural Language Processing,Machine Learning,Beginner,Free,155,155,0.0,1.13,0.0,0.0,16.33,1.55,48,1.55,1.0,Below 3,Free,Lower Popularity - Lower Rating,4.0
CR00027,Neural Networks,Machine Learning,Advanced,Free,152,152,0.0,1.81,0.0,0.0,9.3,1.52,54,1.52,1.0,Below 3,Free,Lower Popularity - Lower Rating,5.0
CR00019,Content Marketing,Marketing,Advanced,Free,177,177,0.0,2.98,0.0,0.0,18.0,1.77,14,1.77,1.0,Below 3,Free,High Popularity - Lower Rating,1.0
CR00018,Social Media Marketing,Marketing,Advanced,Free,163,163,0.0,2.01,0.0,0.0,15.44,1.63,39,1.63,1.0,Below 3,Free,Lower Popularity - Lower Rating,2.0
CR00017,SEO Mastery,Marketing,Advanced,Free,158,158,0.0,4.79,0.0,0.0,29.37,1.58,44,1.58,1.0,4.5+,Free,Lower Popularity - High Rating,3.0
CR00020,Email Marketing,Marketing,Intermediate,Free,155,155,0.0,4.11,0.0,0.0,46.25,1.55,47,1.55,1.0,4.0-4.4,Free,Lower Popularity - High Rating,4.0
CR00016,Digital Marketing,Marketing,Intermediate,Free,153,153,0.0,4.72,0.0,0.0,42.68,1.53,52,1.53,1.0,4.5+,Free,Lower Popularity - High Rating,5.0
CR00003,C++ for Beginners,Programming,Beginner,Free,173,173,0.0,3.85,0.0,0.0,19.53,1.73,18,1.73,1.0,3.0-3.9,Free,High Popularity - High Rating,1.0
CR00005,Full Stack Development,Programming,Beginner,Free,166,166,0.0,1.28,0.0,0.0,28.68,1.66,33,1.66,1.0,Below 3,Free,High Popularity - Lower Rating,2.0
CR00001,Python Basics,Programming,Beginner,Paid,164,164,472.28,4.74,472.28,77453.92,11.0,1.64,35,1.64,1.0,4.5+,₹1-500,Lower Popularity - High Rating,3.0
CR00004,Advanced Python,Programming,Beginner,Free,154,154,0.0,2.88,0.0,0.0,45.13,1.54,50,1.54,1.0,Below 3,Free,Lower Popularity - Lower Rating,4.0
CR00002,Java Programming,Programming,Intermediate,Free,149,149,0.0,2.43,0.0,0.0,37.7,1.49,57,1.49,1.0,Below 3,Free,Lower Popularity - Lower Rating,5.0
CR00036,Agile Project Management,Project Management,Beginner,Free,177,177,0.0,4.68,0.0,0.0,15.75,1.77,13,1.77,1.0,4.5+,Free,High Popularity - High Rating,1.0
CR00040,Leadership in Projects,Project Management,Beginner,Paid,174,174,327.99,1.51,327.99,57070.26,12.13,1.74,16,1.74,1.0,Below 3,₹1-500,High Popularity - Lower Rating,2.0
CR00039,Project Planning,Project Management,Advanced,Paid,167,167,346.71,1.23,346.71,57900.57,3.42,1.67,28,1.67,1.0,Below 3,₹1-500,High Popularity - Lower Rating,3.0
CR00038,Risk Management,Project Management,Intermediate,Paid,158,158,342.61,4.84,342.61,54132.380000000005,17.14,1.58,45,1.58,1.0,4.5+,₹1-500,Lower Popularity - High Rating,4.0
CR00037,Scrum Essentials,Project Management,Intermediate,Free,153,153,0.0,3.45,0.0,0.0,33.93,1.53,53,1.53,1.0,3.0-3.9,Free,Lower Popularity - High Rating,5.0
CR00054,Backend Development with Node.js,Web Development,Beginner,Free,178,178,0.0,3.32,0.0,0.0,48.57,1.78,11,1.78,1.0,3.0-3.9,Free,High Popularity - High Rating,1.0
CR00055,Full-Stack Web Development,Web Development,Advanced,Paid,178,178,57.32,4.74,57.32000000000001,10202.960000000001,43.95,1.78,12,1.78,1.0,4.5+,₹1-500,High Popularity - High Rating,2.0
CR00051,HTML & CSS,Web Development,Advanced,Paid,171,171,37.89,1.3,37.89,6479.1900000000005,24.11,1.71,22,1.71,1.0,Below 3,₹1-500,High Popularity - Lower Rating,3.0
CR00053,React for Beginners,Web Development,Advanced,Free,163,163,0.0,2.67,0.0,0.0,40.07,1.63,38,1.63,1.0,Below 3,Free,Lower Popularity - Lower Rating,4.0
CR00052,JavaScript Mastery,Web Development,Beginner,Free,154,154,0.0,2.2,0.0,0.0,40.76,1.54,51,1.54,1.0,Below 3,Free,Lower Popularity - Lower Rating,5.0
