AgeGroup,CourseCategory,CourseLevel,Enrollments,UniqueLearners,ShareWithinAge
<18,Artificial Intelligence,Advanced,0,0,0.0
<18,Artificial Intelligence,Beginner,71,61,4.83
<18,Artificial Intelligence,Intermediate,58,52,3.95
<18,Business,Advanced,84,73,5.72
<18,Business,Beginner,15,15,1.02
<18,Business,Intermediate,21,21,1.43
<18,Cybersecurity,Advanced,22,22,1.5
<18,Cybersecurity,Beginner,26,26,1.77
<18,Cybersecurity,Intermediate,73,63,4.97
<18,Data Science,Advanced,20,20,1.36
<18,Data Science,Beginner,50,46,3.4
<18,Data Science,Intermediate,44,40,3.0
<18,Design,Advanced,98,86,6.67
<18,Design,Beginner,22,22,1.5
<18,Design,Intermediate,0,0,0.0
<18,Digital Marketing,Advanced,48,44,3.27
<18,Digital Marketing,Beginner,52,48,3.54
<18,Digital Marketing,Intermediate,27,27,1.84
<18,Finance,Advanced,22,22,1.5
<18,Finance,Beginner,62,58,4.22
<18,Finance,Intermediate,52,45,3.54
<18,Machine Learning,Advanced,57,55,3.88
<18,Machine Learning,Beginner,19,19,1.29
<18,Machine Learning,Intermediate,44,40,3.0
<18,Marketing,Advanced,81,73,5.51
<18,Marketing,Beginner,0,0,0.0
<18,Marketing,Intermediate,45,44,3.06
<18,Programming,Advanced,0,0,0.0
<18,Programming,Beginner,89,67,6.06
<18,Programming,Intermediate,20,20,1.36
<18,Project Management,Advanced,22,22,1.5
<18,Project Management,Beginner,43,39,2.93
<18,Project Management,Intermediate,50,47,3.4
<18,Web Development,Advanced,80,65,5.45
<18,Web Development,Beginner,52,49,3.54
<18,Web Development,Intermediate,0,0,0.0
18-25,Artificial Intelligence,Advanced,0,0,0.0
18-25,Artificial Intelligence,Beginner,199,178,5.33
18-25,Artificial Intelligence,Intermediate,118,114,3.16
18-25,Business,Advanced,185,165,4.96
18-25,Business,Beginner,64,64,1.71
18-25,Business,Intermediate,58,58,1.55
18-25,Cybersecurity,Advanced,56,56,1.5
18-25,Cybersecurity,Beginner,67,67,1.8
18-25,Cybersecurity,Intermediate,184,166,4.93
18-25,Data Science,Advanced,65,65,1.74
18-25,Data Science,Beginner,140,129,3.75
18-25,Data Science,Intermediate,138,127,3.7
18-25,Design,Advanced,251,213,6.73
18-25,Design,Beginner,60,60,1.61
18-25,Design,Intermediate,0,0,0.0
18-25,Digital Marketing,Advanced,102,97,2.73
18-25,Digital Marketing,Beginner,134,124,3.59
18-25,Digital Marketing,Intermediate,60,60,1.61
18-25,Finance,Advanced,66,66,1.77
