YearMonth,CourseCategory,Enrollments
2025-01,Artificial Intelligence,80
2025-01,Business,82
2025-01,Cybersecurity,59
2025-01,Data Science,75
2025-01,Design,49
2025-01,Digital Marketing,65
2025-01,Finance,75
2025-01,Machine Learning,70
2025-01,Marketing,68
2025-01,Programming,72
2025-01,Project Management,69
2025-01,Web Development,69
2025-02,Artificial Intelligence,81
2025-02,Business,61
2025-02,Cybersecurity,61
2025-02,Data Science,69
2025-02,Design,61
2025-02,Digital Marketing,69
2025-02,Finance,65
2025-02,Machine Learning,56
2025-02,Marketing,59
2025-02,Programming,58
2025-02,Project Management,63
2025-02,Web Development,63
2025-03,Artificial Intelligence,84
2025-03,Business,81
2025-03,Cybersecurity,62
2025-03,Data Science,82
2025-03,Design,64
2025-03,Digital Marketing,78
2025-03,Finance,63
2025-03,Machine Learning,62
2025-03,Marketing,60
2025-03,Programming,63
2025-03,Project Management,74
2025-03,Web Development,84
2025-04,Artificial Intelligence,61
2025-04,Business,77
2025-04,Cybersecurity,69
2025-04,Data Science,80
2025-04,Design,76
2025-04,Digital Marketing,68
2025-04,Finance,70
2025-04,Machine Learning,68
2025-04,Marketing,58
2025-04,Programming,65
2025-04,Project Management,72
2025-04,Web Development,67
2025-05,Artificial Intelligence,63
2025-05,Business,55
2025-05,Cybersecurity,67
2025-05,Data Science,85
2025-05,Design,68
2025-05,Digital Marketing,62
2025-05,Finance,70
2025-05,Machine Learning,74
2025-05,Marketing,60
2025-05,Programming,76
2025-05,Project Management,73
2025-05,Web Development,72
2025-06,Artificial Intelligence,69
2025-06,Business,72
2025-06,Cybersecurity,75
2025-06,Data Science,73
2025-06,Design,82
2025-06,Digital Marketing,84
2025-06,Finance,79
2025-06,Machine Learning,75
2025-06,Marketing,84
2025-06,Programming,66
2025-06,Project Management,66
2025-06,Web Development,74
2025-07,Artificial Intelligence,66
2025-07,Business,71
2025-07,Cybersecurity,72
2025-07,Data Science,82
2025-07,Design,77
2025-07,Digital Marketing,57
2025-07,Finance,82
2025-07,Machine Learning,64
2025-07,Marketing,60
2025-07,Programming,73
2025-07,Project Management,63
2025-07,Web Development,59
2025-08,Artificial Intelligence,63
2025-08,Business,53
2025-08,Cybersecurity,80
2025-08,Data Science,67
2025-08,Design,64
2025-08,Digital Marketing,70
2025-08,Finance,76
2025-08,Machine Learning,80
2025-08,Marketing,76
2025-08,Programming,65
2025-08,Project Management,74
2025-08,Web Development,76
2025-09,Artificial Intelligence,54
2025-09,Business,72
2025-09,Cybersecurity,73
2025-09,Data Science,85
2025-09,Design,70
2025-09,Digital Marketing,69
2025-09,Finance,74
2025-09,Machine Learning,87
2025-09,Marketing,74
2025-09,Programming,71
2025-09,Project Management,67
2025-09,Web Development,74
2025-10,Artificial Intelligence,59
2025-10,Business,75
2025-10,Cybersecurity,60
2025-10,Data Science,64
2025-10,Design,66
2025-10,Digital Marketing,52
2025-10,Finance,72
2025-10,Machine Learning,58
2025-10,Marketing,66
2025-10,Programming,63
2025-10,Project Management,65
2025-10,Web Development,62
2025-11,Artificial Intelligence,79
2025-11,Business,71
2025-11,Cybersecurity,74
2025-11,Data Science,73
2025-11,Design,72
2025-11,Digital Marketing,75
2025-11,Finance,67
2025-11,Machine Learning,60
2025-11,Marketing,81
2025-11,Programming,73
2025-11,Project Management,77
2025-11,Web Development,67
2025-12,Artificial Intelligence,70
2025-12,Business,63
2025-12,Cybersecurity,67
2025-12,Data Science,81
2025-12,Design,78
2025-12,Digital Marketing,59
2025-12,Finance,71
2025-12,Machine Learning,65
2025-12,Marketing,60
2025-12,Programming,61
2025-12,Project Management,66
2025-12,Web Development,77
