YearMonth,CourseLevel,Enrollments
2025-01,Advanced,276
2025-01,Beginner,305
2025-01,Intermediate,252
2025-02,Advanced,234
2025-02,Beginner,293
2025-02,Intermediate,239
2025-03,Advanced,319
2025-03,Beginner,306
2025-03,Intermediate,232
2025-04,Advanced,299
2025-04,Beginner,287
2025-04,Intermediate,245
2025-05,Advanced,278
2025-05,Beginner,311
2025-05,Intermediate,236
2025-06,Advanced,337
2025-06,Beginner,302
2025-06,Intermediate,260
2025-07,Advanced,292
2025-07,Beginner,274
2025-07,Intermediate,260
2025-08,Advanced,285
2025-08,Beginner,296
2025-08,Intermediate,263
2025-09,Advanced,303
2025-09,Beginner,313
2025-09,Intermediate,254
2025-10,Advanced,271
2025-10,Beginner,291
2025-10,Intermediate,200
2025-11,Advanced,308
2025-11,Beginner,297
2025-11,Intermediate,264
2025-12,Advanced,273
2025-12,Beginner,298
2025-12,Intermediate,247
