UserID,TotalEnrollments,UniqueCourses,UniqueCategories,UniqueLevels,TotalSpend,AverageTransactionAmount,Age,Gender,AgeGroup,ActivitySegment
U00001,1,1,1,1,394.26,394.26,15,Male,<18,Low Activity
U00002,1,1,1,1,0.0,0.0,29,Female,26-35,Low Activity
U00003,11,11,7,3,613.98,55.81636363636364,33,Female,26-35,Very High Activity
U00004,13,13,8,3,982.05,75.54230769230769,23,Female,18-25,Very High Activity
U00005,2,2,2,2,346.71,173.355,21,Male,18-25,Low Activity
U00006,1,1,1,1,0.78,0.78,21,Male,18-25,Low Activity
U00007,1,1,1,1,0.0,0.0,24,Male,18-25,Low Activity
U00008,1,1,1,1,0.0,0.0,33,Female,26-35,Low Activity
U00009,1,1,1,1,276.37,276.37,20,Female,18-25,Low Activity
U00010,2,2,2,2,326.02,163.01,34,Female,26-35,Low Activity
U00011,2,2,2,2,299.57,149.785,15,Female,<18,Low Activity
U00012,2,2,2,2,327.99,163.995,15,Female,<18,Low Activity
U00013,14,14,8,3,1432.33,102.3092857142857,33,Female,26-35,Very High Activity
U00014,1,1,1,1,0.0,0.0,30,Male,26-35,Low Activity
U00015,14,14,10,3,2035.06,145.36142857142858,27,Female,26-35,Very High Activity
U00016,1,1,1,1,0.0,0.0,32,Male,26-35,Low Activity
U00017,3,3,3,2,963.18,321.06,24,Male,18-25,Moderate Activity
U00018,16,16,9,3,1468.03,91.751875,24,Female,18-25,Very High Activity
U00019,1,1,1,1,0.0,0.0,24,Female,18-25,Low Activity
U00020,1,1,1,1,0.0,0.0,27,Female,26-35,Low Activity
U00021,2,2,2,1,177.34,88.67,15,Male,<18,Low Activity
U00022,1,1,1,1,0.0,0.0,31,Male,26-35,Low Activity
U00023,1,1,1,1,0.0,0.0,32,Male,26-35,Low Activity
U00024,1,1,1,1,0.0,0.0,18,Female,18-25,Low Activity
U00025,4,4,4,3,119.04,29.76,34,Male,26-35,Moderate Activity
U00026,1,1,1,1,327.99,327.99,19,Male,18-25,Low Activity
U00027,2,2,2,2,0.0,0.0,31,Male,26-35,Low Activity
U00028,12,12,9,3,1012.66,84.38833333333334,30,Female,26-35,Very High Activity
U00029,1,1,1,1,326.02,326.02,30,Male,26-35,Low Activity
U00030,1,1,1,1,0.0,0.0,34,Male,26-35,Low Activity
U00031,1,1,1,1,0.0,0.0,30,Male,26-35,Low Activity
U00032,1,1,1,1,285.05,285.05,18,Male,18-25,Low Activity
U00033,1,1,1,1,276.37,276.37,25,Male,18-25,Low Activity
U00034,2,2,2,1,248.1,124.05,32,Female,26-35,Low Activity
U00035,1,1,1,1,0.78,0.78,32,Male,26-35,Low Activity
U00036,1,1,1,1,0.0,0.0,24,Female,18-25,Low Activity
U00037,2,2,2,1,0.0,0.0,31,Female,26-35,Low Activity
U00038,1,1,1,1,0.0,0.0,35,Male,26-35,Low Activity
U00039,1,1,1,1,346.71,346.71,16,Female,<18,Low Activity
U00040,1,1,1,1,0.0,0.0,15,Male,<18,Low Activity
U00041,2,2,2,2,326.02,163.01,19,Female,18-25,Low Activity
U00042,1,1,1,1,89.59,89.59,32,Male,26-35,Low Activity
U00043,1,1,1,1,327.99,327.99,31,Male,26-35,Low Activity
U00044,1,1,1,1,299.57,299.57,19,Male,18-25,Low Activity
U00045,14,14,9,3,1209.79,86.41357142857143,23,Female,18-25,Very High Activity
U00046,2,2,2,2,0.0,0.0,29,Female,26-35,Low Activity
U00047,1,1,1,1,0.0,0.0,34,Male,26-35,Low Activity
U00048,13,13,9,3,356.89,27.45307692307692,19,Male,18-25,Very High Activity
U00049,1,1,1,1,0.0,0.0,32,Male,26-35,Low Activity
U00050,1,1,1,1,0.0,0.0,33,Male,26-35,Low Activity
U00051,1,1,1,1,0.0,0.0,32,Female,26-35,Low Activity
U00052,1,1,1,1,0.78,0.78,25,Female,18-25,Low Activity
U00053,1,1,1,1,53.86,53.86,34,Female,26-35,Low Activity
U00054,1,1,1,1,490.9,490.9,22,Female,18-25,Low Activity
U00055,16,16,9,3,1448.25,90.515625,31,Female,26-35,Very High Activity
U00056,2,2,2,2,0.0,0.0,22,Female,18-25,Low Activity
U00057,1,1,1,1,487.92,487.92,18,Male,18-25,Low Activity
U00058,1,1,1,1,117.68,117.68,30,Female,26-35,Low Activity
U00059,1,1,1,1,0.0,0.0,32,Male,26-35,Low Activity
U00060,4,4,3,2,53.86,13.465,26,Male,26-35,Moderate Activity
U00061,1,1,1,1,0.0,0.0,32,Female,26-35,Low Activity
U00062,1,1,1,1,0.0,0.0,28,Female,26-35,Low Activity
U00063,2,2,2,1,299.57,149.785,34,Female,26-35,Low Activity
