CourseCategory,Enrollments,UniqueLearners,EnrollmentSharePercent,AverageEnrollmentsPerLearner
Data Science,916,685,9.16,1.3372262773722627
Finance,864,650,8.64,1.3292307692307692
Web Development,844,652,8.44,1.294478527607362
Business,833,648,8.33,1.2854938271604939
Project Management,829,636,8.290000000000001,1.3034591194968554
Artificial Intelligence,829,639,8.290000000000001,1.297339593114241
Design,827,657,8.27,1.2587519025875191
Cybersecurity,819,652,8.19,1.2561349693251533
Machine Learning,819,639,8.19,1.2816901408450705
Digital Marketing,808,646,8.08,1.2507739938080495
Programming,806,605,8.06,1.3322314049586776
Marketing,806,623,8.06,1.2937399678972712
