CourseID,CourseName,CourseCategory,CourseLevel,Enrollments,UniqueLearners,AverageTransactionAmount,EnrollmentSharePercent
CR00021,Data Analysis with Python,Data Science,Intermediate,196,196,0.0,1.96
CR00058,Social Media Strategy,Digital Marketing,Beginner,194,194,0.0,1.94
CR00025,Statistical Analysis,Data Science,Beginner,192,192,299.57,1.92
CR00048,AI Ethics,Artificial Intelligence,Beginner,186,186,0.0,1.8599999999999999
CR00023,Machine Learning Fundamentals,Data Science,Intermediate,185,185,0.0,1.8499999999999999
CR00042,Investment Strategies,Finance,Intermediate,183,183,0.0,1.83
CR00043,Corporate Finance,Finance,Beginner,182,182,0.0,1.82
CR00010,3D Modeling,Design,Advanced,180,180,0.0,1.7999999999999998
CR00035,Cyber Threat Intelligence,Cybersecurity,Beginner,179,179,0.0,1.79
CR00007,UI/UX Design,Design,Advanced,178,178,0.0,1.78
CR00054,Backend Development with Node.js,Web Development,Beginner,178,178,0.0,1.78
CR00055,Full-Stack Web Development,Web Development,Advanced,178,178,57.32000000000001,1.78
CR00036,Agile Project Management,Project Management,Beginner,177,177,0.0,1.77
CR00019,Content Marketing,Marketing,Advanced,177,177,0.0,1.77
CR00022,Data Visualization,Data Science,Beginner,177,177,0.0,1.77
CR00040,Leadership in Projects,Project Management,Beginner,174,174,327.99,1.7399999999999998
CR00050,Computer Vision,Artificial Intelligence,Beginner,174,174,490.9,1.7399999999999998
CR00003,C++ for Beginners,Programming,Beginner,173,173,0.0,1.73
CR00012,Business Strategy,Business,Advanced,173,173,487.92,1.73
CR00045,Financial Modeling,Finance,Advanced,172,172,0.0,1.72
CR00026,Intro to Machine Learning,Machine Learning,Intermediate,172,172,0.0,1.72
CR00051,HTML & CSS,Web Development,Advanced,171,171,37.89,1.71
CR00014,Sales Mastery,Business,Advanced,171,171,0.0,1.71
CR00028,Deep Learning,Machine Learning,Advanced,171,171,0.78,1.71
CR00013,Finance for Startups,Business,Advanced,170,170,0.0,1.7000000000000002
CR00030,Reinforcement Learning,Machine Learning,Intermediate,169,169,0.0,1.69
CR00015,Leadership Essentials,Business,Beginner,168,168,285.05,1.68
CR00039,Project Planning,Project Management,Advanced,167,167,346.71,1.67
CR00033,Cybersecurity Fundamentals,Cybersecurity,Intermediate,167,167,0.0,1.67
CR00024,Big Data Analytics,Data Science,Advanced,166,166,117.68,1.66
CR00047,Natural Language Processing,Artificial Intelligence,Intermediate,166,166,89.59,1.66
CR00041,Financial Accounting,Finance,Beginner,166,166,53.86,1.66
CR00005,Full Stack Development,Programming,Beginner,166,166,0.0,1.66
CR00060,Content Creation,Digital Marketing,Beginner,165,165,0.0,1.6500000000000001
CR00001,Python Basics,Programming,Beginner,164,164,472.28,1.6400000000000001
CR00049,Deep Learning,Artificial Intelligence,Intermediate,163,163,415.51000000000005,1.63
CR00032,Ethical Hacking,Cybersecurity,Advanced,163,163,0.0,1.63
CR00053,React for Beginners,Web Development,Advanced,163,163,0.0,1.63
CR00018,Social Media Marketing,Marketing,Advanced,163,163,0.0,1.63
CR00044,Personal Finance,Finance,Intermediate,161,161,119.04000000000002,1.6099999999999999
CR00059,Affiliate Marketing,Digital Marketing,Intermediate,161,161,0.0,1.6099999999999999
CR00031,Network Security,Cybersecurity,Intermediate,160,160,0.0,1.6
CR00008,Photoshop Mastery,Design,Advanced,158,158,0.0,1.58
CR00017,SEO Mastery,Marketing,Advanced,158,158,0.0,1.58
CR00038,Risk Management,Project Management,Intermediate,158,158,342.61,1.58
CR00006,Graphic Design Basics,Design,Advanced,156,156,276.37,1.5599999999999998
CR00020,Email Marketing,Marketing,Intermediate,155,155,0.0,1.55
CR00029,Natural Language Processing,Machine Learning,Beginner,155,155,0.0,1.55
CR00009,Web Design Fundamentals,Design,Beginner,155,155,0.0,1.55
CR00004,Advanced Python,Programming,Beginner,154,154,0.0,1.54
CR00052,JavaScript Mastery,Web Development,Beginner,154,154,0.0,1.54
CR00016,Digital Marketing,Marketing,Intermediate,153,153,0.0,1.53
CR00037,Scrum Essentials,Project Management,Intermediate,153,153,0.0,1.53
CR00027,Neural Networks,Machine Learning,Advanced,152,152,0.0,1.52
CR00011,Entrepreneurship 101,Business,Intermediate,151,151,326.02,1.51
CR00034,Data Encryption,Cybersecurity,Intermediate,150,150,394.26,1.5
CR00002,Java Programming,Programming,Intermediate,149,149,0.0,1.49
CR00056,Google Ads Mastery,Digital Marketing,Advanced,148,148,212.39,1.48
CR00046,AI for Beginners,Artificial Intelligence,Beginner,140,140,248.1,1.4000000000000001
CR00057,SEO for E-commerce,Digital Marketing,Advanced,140,140,177.34,1.4000000000000001
