CourseID,CourseName,CourseCategory,CourseLevel,Enrollments
CR00021,Data Analysis with Python,Data Science,Intermediate,196
CR00058,Social Media Strategy,Digital Marketing,Beginner,194
CR00025,Statistical Analysis,Data Science,Beginner,192
CR00048,AI Ethics,Artificial Intelligence,Beginner,186
CR00023,Machine Learning Fundamentals,Data Science,Intermediate,185
CR00042,Investment Strategies,Finance,Intermediate,183
CR00043,Corporate Finance,Finance,Beginner,182
CR00010,3D Modeling,Design,Advanced,180
CR00035,Cyber Threat Intelligence,Cybersecurity,Beginner,179
CR00007,UI/UX Design,Design,Advanced,178
