TransactionID,UserID,CourseID,TransactionDate,Amount,PaymentMethod,TeacherID,Year,Month,MonthName,YearMonth
TT00001,U00003,CR00016,2025-10-25,0.0,PayPal,TC00040,2025,10,October,2025-10
TT00002,U00003,CR00037,2025-01-13,0.0,PayPal,TC00040,2025,1,January,2025-01
TT00003,U00003,CR00019,2025-03-28,0.0,Bank Transfer,TC00040,2025,3,March,2025-03
TT00004,U00004,CR00048,2025-06-02,0.0,Bank Transfer,TC00040,2025,6,June,2025-06
TT00005,U00004,CR00060,2025-08-10,0.0,PayPal,TC00042,2025,8,August,2025-08
TT00006,U00004,CR00042,2025-10-30,0.0,Credit Card,TC00042,2025,10,October,2025-10
TT00007,U00004,CR00017,2025-05-09,0.0,Bank Transfer,TC00042,2025,5,May,2025-05
TT00008,U00004,CR00025,2025-05-07,299.57,Credit Card,TC00040,2025,5,May,2025-05
TT00009,U00013,CR00003,2025-10-05,0.0,PayPal,TC00040,2025,10,October,2025-10
TT00010,U00013,CR00032,2025-09-29,0.0,Bank Transfer,TC00040,2025,9,September,2025-09
TT00011,U00013,CR00060,2025-11-26,0.0,PayPal,TC00042,2025,11,November,2025-11
TT00012,U00013,CR00030,2025-01-20,0.0,Bank Transfer,TC00042,2025,1,January,2025-01
TT00013,U00013,CR00056,2025-08-28,212.39,Bank Transfer,TC00042,2025,8,August,2025-08
TT00014,U00015,CR00045,2025-04-27,0.0,PayPal,TC00040,2025,4,April,2025-04
TT00015,U00015,CR00046,2025-02-19,248.1,Bank Transfer,TC00040,2025,2,February,2025-02
TT00016,U00015,CR00040,2025-12-22,327.99,Credit Card,TC00040,2025,12,December,2025-12
TT00017,U00015,CR00019,2025-07-14,0.0,Bank Transfer,TC00042,2025,7,July,2025-07
TT00018,U00018,CR00046,2025-05-22,248.1,Credit Card,TC00040,2025,5,May,2025-05
TT00019,U00018,CR00047,2025-04-21,89.59,PayPal,TC00040,2025,4,April,2025-04
TT00020,U00018,CR00045,2025-01-12,0.0,Credit Card,TC00040,2025,1,January,2025-01
TT00021,U00018,CR00001,2025-03-24,472.28,PayPal,TC00042,2025,3,March,2025-03
TT00022,U00018,CR00029,2025-01-20,0.0,Credit Card,TC00042,2025,1,January,2025-01
TT00023,U00028,CR00040,2025-05-06,327.99,Bank Transfer,TC00042,2025,5,May,2025-05
TT00024,U00028,CR00010,2025-08-12,0.0,Bank Transfer,TC00042,2025,8,August,2025-08
TT00025,U00028,CR00056,2025-03-04,212.39,Credit Card,TC00040,2025,3,March,2025-03
TT00026,U00028,CR00021,2025-04-17,0.0,Credit Card,TC00040,2025,4,April,2025-04
TT00027,U00028,CR00031,2025-04-20,0.0,Bank Transfer,TC00040,2025,4,April,2025-04
TT00028,U00045,CR00043,2025-05-06,0.0,Credit Card,TC00040,2025,5,May,2025-05
TT00029,U00045,CR00036,2025-04-28,0.0,PayPal,TC00040,2025,4,April,2025-04
TT00030,U00045,CR00045,2025-07-10,0.0,Bank Transfer,TC00040,2025,7,July,2025-07
TT00031,U00045,CR00035,2025-07-27,0.0,Credit Card,TC00040,2025,7,July,2025-07
TT00032,U00048,CR00022,2025-11-19,0.0,Bank Transfer,TC00040,2025,11,November,2025-11
TT00033,U00048,CR00016,2025-03-21,0.0,Bank Transfer,TC00040,2025,3,March,2025-03
TT00034,U00048,CR00037,2025-05-25,0.0,PayPal,TC00040,2025,5,May,2025-05
TT00035,U00048,CR00025,2025-05-08,299.57,Credit Card,TC00040,2025,5,May,2025-05
TT00036,U00055,CR00058,2025-04-29,0.0,Bank Transfer,TC00040,2025,4,April,2025-04
TT00037,U00055,CR00057,2025-05-17,177.34,PayPal,TC00040,2025,5,May,2025-05
TT00038,U00055,CR00014,2025-09-21,0.0,Credit Card,TC00040,2025,9,September,2025-09
TT00039,U00055,CR00016,2025-06-02,0.0,Credit Card,TC00042,2025,6,June,2025-06
TT00040,U00055,CR00051,2025-09-14,37.89,PayPal,TC00042,2025,9,September,2025-09
TT00041,U00071,CR00025,2025-03-02,299.57,Credit Card,TC00042,2025,3,March,2025-03
TT00042,U00071,CR00048,2025-03-18,0.0,Bank Transfer,TC00042,2025,3,March,2025-03
TT00043,U00071,CR00015,2025-10-16,285.05,Bank Transfer,TC00040,2025,10,October,2025-10
TT00044,U00083,CR00028,2025-12-08,0.78,PayPal,TC00042,2025,12,December,2025-12
TT00045,U00083,CR00054,2025-09-09,0.0,Bank Transfer,TC00042,2025,9,September,2025-09
TT00046,U00083,CR00044,2025-09-21,119.04,Credit Card,TC00040,2025,9,September,2025-09
TT00047,U00083,CR00040,2025-11-15,327.99,PayPal,TC00040,2025,11,November,2025-11
TT00048,U00085,CR00035,2025-11-11,0.0,Bank Transfer,TC00040,2025,11,November,2025-11
TT00049,U00085,CR00053,2025-06-15,0.0,Credit Card,TC00040,2025,6,June,2025-06
TT00050,U00085,CR00002,2025-03-01,0.0,Credit Card,TC00042,2025,3,March,2025-03
TT00051,U00109,CR00002,2025-04-26,0.0,PayPal,TC00040,2025,4,April,2025-04
